"4C OFFSHORE WIND FARMS DATABASE
PROTECTED BY COPYRIGHT - NOT FOR DISTRIBUTION
WWW.4COFFSHORE.COM
BE05,Rentel,,Belgium,Fully Commissioned,Concession identified through decree of May 2004,Vlaanderen,,http://www.rentel.be,23 Jun 2020: Lampiris  has signed a 15 year PPA for electricity from the Rentel offshore wind farm. The PPA will commence from 1st October.,24-Jul-2017,24-Jul-2017,08-Jul-2013,08-Feb-2013,03-Oct-2016,30-Jul-2018,31-Dec-2018,2017,309,High,,"Otary (52%), Aspiravi (6%), Power@Sea (6%), DEME Offshore (6%), SRIW Environment (6%), Socofe (6%), Nuhma (6%), Elicio (6%), Rent-A-Port (6%)",Rentel N.V.,,309,,SWT-7.0-154 (Siemens Gamesa),,,SWT-7.0-154,,,7,,42,183,106,154,Grounded: Monopile,42 x Monopile,"Foundation max weight 1250t average weight 1116t, 8m diameter. Transition piece have height of 22m, a diameter of 6m (top) and 7m (bottom) and a total weight of 325kg.
55,000T of steel supplied in total for monopiles",EUR 1100 million,1100,EUR,Renewable Energy Certificate with LCOE pricing mechanism,"An LCOE of €129.8/MWh is expected for the Rentel project. The support period from the Belgian government will last for 19 years, opposed to the initially agreed 20.",EUR,129.8,129.8,23.5,34,22,36,34,32.43,10.21,23.25,51.5913,2.9446,North Sea,Europe,NO,REBO-terminal-Ostend,Ostend,1,HVAC Collector Station,Direct to shore (Zeebrugge) in first instance then also via Modular Offshore Grid when available,Zeebrugge,1,40,4.5,220,,,,,"40km cable from Rentel Substation to Zeebrugge.
When the MOG is available Rentel will connect also via a 4.5km 220kV from Rentel Substation to the Modular Offshore Grid (MOG)",45,33,,,,,20
FI02,Reposaaren tuulipuisto,Tahkoluoto,Finland,Fully Commissioned,,Länsi-Suomi,,http://hyotytuuli.fi/tuulipuistot/meri-porin-tuulipuisto/,01 Sep 2010: Commercial use of plant started.,21-Jul-2010,21-Jul-2010,,,,01-Sep-2010,01-Sep-2010,2010,2.3,High,,Suomen Hyötytuuli,Suomen Hyötytuuli Oy,Suomen Hyötytuuli Oy,2.3,,SWT-2.3-101 (Siemens),,,SWT-2.3-101,,,2.3,,1,130.5,80,101,Grounded: Gravity-Base,1 x Gravity-Base,Steel Shell Gravity,EUR 8.5 million,8.5,EUR,,,,,,10,19,9,9,6.58,9.58,9.01,,61.6246,21.353,Gulf of Bothnia,Europe,NO,Tahkoluoto,Tahkoluoto,,,Tahkoluoto,Tahkoluoto,1,2,,20,,,,,,,,,,,,
US6F,Ocean Wind+,Lease OCS-A 04985v,United States,Concept/Early Planning,,New Jersey,,www.oceanwind.com,"10 Dec 2020: Ørsted announced has submitted a bid to the New Jersey Board of Public Utilities to develop its Ocean Wind 2 project. The bid is in response to a call for up to 2,400 MW.",,,,,,,,2032,1400,Medium,"NEW JERSEY: Added as a placeholder, to make up capacity for expected future solicitations under NJ's 7.5 GW by 2035 target. Model as 1.4 GW, to be tendered in 2026, awarded in 2027, built in 2032, and commissioned in 2033.",Ørsted,,,850,,Not Decided,,,,,,,,,,,,Grounded: Not Specified,,,,,,,,,,,13.4,40,,,,27.32,,221.69,39.0125,-74.4095,Atlantic Ocean,North America,NO,,,,,,,,,,,,,,,,,,,,,,
UK1Q,Rhiannon Wind Farm,"Zone 9, Irish Sea South East Potential Development Area, Celtic Array Rhiannon",United Kingdom,Cancelled,Round 3,"Wales, North","Multiple offshore HVAC stations.
Not yet determined whether HVDC offshore transmission will be incorporated. It is unlikely that HVDC will be used but it is considered the maximum worst case scenario. A HVAC transmission system would consist of up to 8 HVAC collector substations, AC array cables and up to 12 transmission cables. A HVDC transmission system would consist of up to 8 HVAC collector substations, up to 4 HVDC converter stations, AC array cables, HVAC cables from the HVAC collector stations to the HVDC converter stations and up to 12 transmission cables.
Number of met masts = 1
Turbine numbers 146 x 15MW to 440 x 4 or 5MW. Rotor diamter 140-265, hub height 115-178 and total tip height 185-310.

July 2014 The Crown Estate invited all Round 3 developers to revise the terms of their agreement as the projects transition from zone appraisals to project development. This could mean that zone development agreements are replaced with project specific contractural agreements.",http://www.centrica.com/celticarray/index.asp?section=Rhiannon#tabcontent,"31 Jul 2014: The developers, Centrica and DONG, and the Crown Estate have agreed that the developers will cease development on the entire zone and terminate their seabed rights. The assessment of the zone has shown challenging ground conditions which using current technology make the project economically unviable. There are no plans to re-offer the zone to the market.",,,,,,,,,,,,"Centrica (50%), Ørsted (50%)",Celtic Array Limited,,2200,,Not Decided,,,,,4,15,146,440,,185,,Grounded: Not Specified,,Various options under consideration including hybrids.,,,,,,,,,36,66,36,83,19,29.74,,497.32,53.6757,-4.2383,Irish Sea,Europe,NO,,,8,,"Rhosgoch, Anglesey",Anglesey between Bull Bay and Port Lynas,12,41.08,,132,,,,,493km of export cabling will be used regardless of using either a HVAC system or a HVDC system. In a HVDC system there will be both HVAC export cabling and HVDC transmission cabling.,1020,,,30,,Land fall and grid connection point to be decided,25
UK19,Rhyl Flats,,United Kingdom,Fully Commissioned,Round 1,"Wales, North",,http://www.rwe.com/web/cms/en/310584/rwe-innogy/sites/wind-offshore/in-operation/rhyl-flats/summary/,04 Nov 2020: RWE Renewables UK will be carrying out maintenance operations involving heavy lifting utilising a Jack-up Barge at Rhyl Flats Wind Farm. MPI Resolution will work on site for ~ 4 days at turbines RF01 and RF20.,29-Apr-2008,29-Apr-2008,01-Mar-2002,01-Dec-2002,01-Mar-2007,01-Oct-2009,02-Dec-2009,2008,90,High,,"RWE (50.1%), Greencoat (24.95%), Macquarie (24.95%)",Innogy SE,"Rhyl Flats Wind Farm Ltd, NPower Renewables,RWE Renewables",90,,SWT-3.6-107 (Siemens),,,SWT-3.6-107,,,3.6,,25,133.5,80,107,Grounded: Monopile,25 x Monopile,,GBP 190 million,190,GBP,Renewables Obligation (RO) at 1.5 ROCs (Renewable Obligation Certificates)/MWh,Revenue is estimated using 2019-20 ROC buy-out price of £48.78/ROC and wholesale electricity price of £50/MWh.,GBP,123.17,139.65,4,11,6.5,12,8,10.69,,9.73,53.379,-3.6465,Irish Sea,Europe,NO,Mostyn,Mostyn,,,Towyn,Towyn,3,10.5,,33,,,,,,18,33,,3,2,"3x33kV, each circuit just under 2km",
DE21,Riffgat,"OWP Riffgat, Borkum Riffgat",Germany,Fully Commissioned,,12nm zone (Lower Saxony Niedersachsen),"On the 23rd October 2014, BNetzA revealed that Riffgat has gained an extra 5.4MW capacity for its substation NOR 0-1. As there was no competition this allocation didn't have to go to auction, although it remains unclear of the intention behind the additional capacity.",https://www.ewe.com/de/konzern/unternehmen/struktur/erneuerbare-netze-und-gasspeicher/offshore-windpark-riffgat,19 Dec 2019: Jack-up vessel Pacific Orca arrived on site to support heavy maintenance work.,14-Jun-2012,14-Jun-2012,10-Jul-2000,29-Sep-2010,29-Sep-2010,18-Feb-2014,07-Mar-2014,2012,108,High,,"EWE (90%), ENOVA (10%)",Offshore Windpark RIFFGAT GmbH &amp; Co. KG,EWE AG,108,,SWT-3.6-120 (Siemens),,,SWT-3.6-120,,,3.6,,30,150,90,120,Grounded: Monopile,30 x Monopile,,EUR 480 million,480,EUR,Feed-in Tariff (EEG 2012),"Project receives increase of initial Feed-in-Tariff (FiT) of 15.0 ct/kWh for 12 years, or accelerated payment of 19ct/Kwh for 8 years. Payments can be extended by 0.5 months for each full nautical mile beyond 12 nautical miles that the installation is distanced from the shoreline as defined in section 3 no. 9 second sentence, and by 1.7 months for each full metre of water depth beyond a water depth of 20 metres. During any period of extension, the payments are at the 15.0 ct/kWh level only.",EUR,190,190,18,23,18,23,15,42.43,9.87,5.97,53.6924,6.4754,North Sea,Europe,NO,"Borkum Harbour, Esbjerg (turbines), Vlissingen (MP's,TP's)","Borkum Harbour, with turbines monitored by a team of EWE staff from a control centre in Norden",1,,Emden Borssum,Pilsum (via Osterems),1,50,,150,,,,,"85kg/m, 28cm diameter",24,33,The total weight of the cable is at 25 to 30 kilograms per meter.,,30,155kV,
NL33,Riffgrond,9 (ID assigned by authority),Netherlands,Cancelled,,Friesland,,,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,,,,,,,,,,Eneco,Evelop,,500,400,Not Decided,,,,,,4.5,90,120,,,,Grounded: Not Specified,,,,,,,,,,,24,28,20,30,34,35.37,9.92,147.76,53.7254,6.0163,North Sea,Europe,NO,,,,,,,,,,,,,,,,,,,,,,
NL73,Rijnveld Noord,28 (ID assigned by authority),Netherlands,Failed Proposal,,Zuid-Holland,"Export cable length dependant on route, either (34.1 or 33.4 or 41.3) km",http://www.e-connection.nl/en/offshore-0,02 Nov 2009: Application refused due to Maritime safety and aviation.,,,07-Sep-2007,,,,,,,,,Eneco,Rijnveld Noord B.V. i.o.,,81,,V90-3.0 MW Offshore (Vestas),,,V90-3.0 MW Offshore,,,3,,27,110,65,90,Grounded: Monopile,27 x Monopile,,,,,,,,,,19,20,20,30,40,39.76,9.95,8.53,52.3582,3.8604,North Sea,Europe,NO,,,1,,Sassenheim or Den Haag or Station Maasvlakte,Noord-Wijk or Scheveningen or Maasvlakte,1,34.1,,150,,,,,,,22,,,,,
NL25,Rijnveld Oost,29 (ID assigned by authority),Netherlands,Failed Proposal,,Zuid-Holland,"Export cable length dependant on route, either (34.1 or 33.4 or 41.3) km",http://www.e-connection.nl/en/offshore-0,02 Nov 2009: Declined due to Maritime safety and aviation.,,,,,,,,,,,,Eneco,Rijnveld Oost B.V. i.o.,,135,,V90-3.0 MW Offshore (Vestas),,,V90-3.0 MW Offshore,,,3,,45,110,65,90,Grounded: Monopile,45 x Monopile,,,,,,,,,,19,21,20,30,35,36.37,9.95,15.04,52.2968,3.8461,North Sea,Europe,NO,,,1,,Sassenheim or Den Haag or Station Maasvlakte,Noord-Wijk or Scheveningen or Maasvlakte,1,34.1,,150,,,,,,,22,,,,,
NL71,Rijnveld West,30 (ID assigned by authority),Netherlands,Failed Proposal,,Zuid-Holland,Cable length 48 or 54 km depending on route,http://www.e-connection.nl/en/offshore-0,02 Nov 2009: Application refused due to Maritime safety and aviation.,,,10-Jul-2008,,,,,,,,,Eneco,Rijnveld West B.V. i.o.,,123,,V90-3.0 MW Offshore (Vestas),,,V90-3.0 MW Offshore,,,3,,41,110,65,90,Grounded: Monopile,41 x Monopile,,,,,,,,,,20,22,20,30,45,49.11,9.92,12.57,52.2868,3.5035,North Sea,Europe,NO,,,1,,Den Haag or Maasvlakte,Scheveningen or Maasvlakte,,54,,150,,,,,,,,,,,,
NL66,Rijnveld Zuid,35 (ID assigned by authority),Netherlands,Cancelled,,Zuid-Holland,"Hub Height 64-80, Rotor Diameter 90-120, Total turbine height 109-140",,"01 Jul 2015: The Offshore Wind Act (Wet Windenergie op Zee) came into operation.
Any existing permits that had not been acted upon or had subsidies allocated, have been retracted. The unused areas may be amalgamated into larger areas and feature in tender rounds post 2020.",,,,,,,,,,,,E-Connection Project,E-Connection Project BV,,150,,Not Decided,,,,,3,5,,50,140,80,120,Grounded: Not Specified,,,,,,,,,,,18,28,,,25,31.1,9.95,23.2,52.1871,3.7149,North Sea,Europe,NO,,,,,,Den Haag or Maasvlakte,,,,150,,,,,,,,,,,,
IT45,Rimini,,Italy,Concept/Early Planning,,Emilia Romagna,,,"30 Mar 2020: Energia Wind 2020 submitted an application to the Ministry of Infrastructure and Transport for a thirty year concession for a 114  km² marine area off the coast of Rimini. The wind farm plans for 58 x 5.6 MW and 1 x 5.2 MW turbines on monopile foundations, plus two offshore substations. The application will be available for 30 days. An EIA will take place in a subsequent phase.",,,,,,,,,,,,,,,330,,Not Decided,,,,,5.2,5.6,,59,,,,Grounded: Monopile,,,,,,,,,,,13,30,,,22,15.95,6.44,113.57,44.1227,12.7825,Adriatic Sea,Europe,NO,,,2,,,Bellariva di Rimini,2,8,,,,,,,"Initial design expects 2 x 3 core cables (bundled with fibre optic) of 150 kV cables (one for each marine transformation station) with a section equal to 1000/1200 mm² in copper or 1600 mm² in aluminum, insulated in XPLE. The two cables, about 8 km long each, leaving the respective OSS come together in a single cable that reaches the shoreline with a route length of about 9.75 km, crosses the beach for about 160 m and reaches a sump where the connection between the submarine and terrestrial cables takes place; the landing point is foreseen in Bellariva di Rimini",20,33,"Initial plans expect a 30 kV rated voltage electricity network consisting of approximately 20 km of submarine copper three-pole electric cables with sections ranging from 95 to 500 mm², which connect the wind turbines in series by grouping them into 2 main sections of 151.2 MW and 178.8 MW, divided into six sub-groups each, each of which pertaining to a 30/150 kV marine electrical transformation station;",,,,
